amfi_code,category,proposed_sector,matched_on,needs_human,reason,note
149318,Sectoral/Thematic,Quant,quant,,,360 ONE QUANT FUND DIRECT GROWTH
125597,Sectoral/Thematic,Banking/Financial Services,banking,,,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth
149295,Sectoral/Thematic,Business Cycle,business cycle,,,Aditya Birla Sun Life Business Cycle Fund-Direct Growth
119576,Sectoral/Thematic,,,YES,non-domestic mandate — a global sleeve does not belong in a domestic sector cohort even when it names one,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Direct Plan
153124,Sectoral/Thematic,,,YES,conglomerates — cross-sector holding companies,Aditya Birla Sun Life Conglomerate Fund-Direct Growth
148637,Sectoral/Thematic,ESG,esg,,,Aditya Birla Sun Life ESG Integration Strategy Fund-Direct Plan-Growth
119514,Sectoral/Thematic,Infrastructure,infrastructure,,,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan
119517,Sectoral/Thematic,,,YES,non-domestic mandate — a global sleeve does not belong in a domestic sector cohort even when it names one,Aditya Birla Sun Life International Equity Fund - Growth - Direct Plan
119518,Sectoral/Thematic,,,YES,non-domestic mandate — a global sleeve does not belong in a domestic sector cohort even when it names one,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Direct Plan
147409,Sectoral/Thematic,Pharma/Healthcare,pharma,,,Aditya Birla Sun Life Pharma and Healthcare Fund-Direct-Growth
152684,Sectoral/Thematic,Quant,quant,,,Aditya Birla Sun Life Quant Fund - Direct Growth
148539,Sectoral/Thematic,,,YES,opportunistic mandate — no sector named,Aditya Birla Sun Life Special Opportunities Fund-Direct-Growth
152158,Sectoral/Thematic,Auto/Transportation,transportation,,,Aditya Birla Sun Life Transportation and Logistics Fund-Direct Growth
151368,Sectoral/Thematic,Business Cycle,business cycle,,,Axis Business Cycles Fund - Direct Plan - Growth
152805,Sectoral/Thematic,FMCG/Consumption,consumption,,,Axis Consumption Fund Direct Plan - Growth
147928,Sectoral/Thematic,ESG,esg,,,Axis ESG Integration Strategy Fund - Direct Plan - Growth Option
148634,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",Axis Innovation Fund - Direct Plan - Growth Option
153083,Sectoral/Thematic,,,YES,"momentum factor — names a factor, not a sector",Axis Momentum Fund - Direct Plan - Growth Option
148993,Sectoral/Thematic,Quant,quant,,,Axis Quant Fund - Direct Plan - Growth
153624,Sectoral/Thematic,,,YES,"services theme — broad, spans finance/IT/telecom",Axis Services Opportunities Fund - Direct Plan - Growth Option
153937,Sectoral/Thematic,Banking/Financial Services,banking,,,Bajaj Finserv Banking and Financial Services Fund - Direct - Growth
153075,Sectoral/Thematic,FMCG/Consumption,consumption,,,BAJAJ FINSERV CONSUMPTION FUND - DIRECT - GROWTH
153157,Sectoral/Thematic,Pharma/Healthcare,healthcare,,,BAJAJ FINSERV HEALTHCARE FUND - DIRECT - GROWTH
152878,Sectoral/Thematic,Business Cycle,business cycle,,,Bandhan Business Cycle Fund - Direct Plan - Growth
151816,Sectoral/Thematic,Banking/Financial Services,financial services,,,BANDHAN FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH
153972,Sectoral/Thematic,Pharma/Healthcare,healthcare,,,Bandhan Healthcare Fund - Direct Plan - Growth
152607,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",Bandhan Innovation Fund - Direct Plan - Growth
153722,Sectoral/Thematic,,,YES,factor strategy — no sector named,Bandhan Multi-Factor Fund - Direct Plan - Growth
154093,Sectoral/Thematic,Banking/Financial Services,banking,,,Bank of India Banking & Financial Services Fund - Direct Plan - Growth
152789,Sectoral/Thematic,Business Cycle,business cycle,,,Bank of India Business Cycle Fund - Direct Plan - Growth
153139,Sectoral/Thematic,FMCG/Consumption,consumption,,,Bank of India Consumption Fund - Direct - Growth
153847,Sectoral/Thematic,,,YES,conglomerates — cross-sector holding companies,Baroda BNP Paribas Business Conglomerates Fund Direct Growth Option
149141,Sectoral/Thematic,Business Cycle,business cycle,,,Baroda BNP Paribas Business Cycle Fund - Direct Plan - Growth
153225,Sectoral/Thematic,Energy/Power,energy,,,Baroda BNP Paribas Energy Opportunities Fund - Direct Plan - Growth Option
154195,Sectoral/Thematic,,,YES,no sector keyword in the name,Baroda BNP Paribas Best-in-Class Strategy Fund - Direct - Growth Option
153604,Sectoral/Thematic,Pharma/Healthcare,health and wellness,,,Baroda BNP Paribas Health and Wellness Fund Direct Growth
150266,Sectoral/Thematic,FMCG/Consumption,consumption,,,BARODA BNP PARIBAS India Consumption Fund - Direct Plan - Growth Option
152470,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",Baroda BNP Paribas Innovation Fund Direct plan - Growth Option
152697,Sectoral/Thematic,Manufacturing,manufacturing,,,Baroda BNP Paribas Manufacturing Fund - Direct Plan - Growth Option
154250,Sectoral/Thematic,Banking/Financial Services,banking,,,Canara Robeco Banking and Financials Services Fund - Direct Plan - Growth
152450,Sectoral/Thematic,Manufacturing,manufacturing,,,Canara Robeco Manufacturing Fund - Direct Plan - Growth Option
152206,Sectoral/Thematic,Banking/Financial Services,banking,,,DSP Banking & Financial Services Fund - Direct - Growth
153121,Sectoral/Thematic,Business Cycle,business cycle,,,DSP Business Cycle Fund - Direct - Growth
145454,Sectoral/Thematic,Pharma/Healthcare,healthcare,,,DSP Healthcare Fund - Direct Plan - Growth
119247,Sectoral/Thematic,Infrastructure,t.i.g.e.r,,,DSP India T.I.G.E.R. Fund - Direct Plan - Growth
152710,Sectoral/Thematic,Business Cycle,business cycle,,,Edelweiss Business Cycle Fund - Direct Plan - Growth
153214,Sectoral/Thematic,FMCG/Consumption,consumption,,,Edelweiss Consumption Fund - Direct - Growth
154108,Sectoral/Thematic,Banking/Financial Services,financial services,,,Edelweiss Financial Services Fund - Direct Plan - Growth Option
142388,Sectoral/Thematic,,,YES,"listing-age theme, not a sector",Edelweiss Recently Listed IPO Fund Direct Plan Growth
152437,Sectoral/Thematic,IT/Technology,technology,,,Edelweiss Technology Fund - Direct Plan - Growth
118559,Sectoral/Thematic,,,YES,non-domestic mandate — a global sleeve does not belong in a domestic sector cohort even when it names one,Franklin Asian Equity Fund - Direct - Growth
118557,Sectoral/Thematic,Infrastructure,build india,,,Franklin Build India Fund - Direct - Growth
