amfi_code,category,sector,source_url,note
149318,Sectoral/Thematic,,,360 ONE QUANT FUND DIRECT GROWTH
125597,Sectoral/Thematic,,,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth
149295,Sectoral/Thematic,,,Aditya Birla Sun Life Business Cycle Fund-Direct Growth
119576,Sectoral/Thematic,,,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Direct Plan
153124,Sectoral/Thematic,,,Aditya Birla Sun Life Conglomerate Fund-Direct Growth
148637,Sectoral/Thematic,,,Aditya Birla Sun Life ESG Integration Strategy Fund-Direct Plan-Growth
119514,Sectoral/Thematic,,,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan
119517,Sectoral/Thematic,,,Aditya Birla Sun Life International Equity Fund - Growth - Direct Plan
119518,Sectoral/Thematic,,,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Direct Plan
147409,Sectoral/Thematic,,,Aditya Birla Sun Life Pharma and Healthcare Fund-Direct-Growth
152684,Sectoral/Thematic,,,Aditya Birla Sun Life Quant Fund - Direct Growth
148539,Sectoral/Thematic,,,Aditya Birla Sun Life Special Opportunities Fund-Direct-Growth
152158,Sectoral/Thematic,,,Aditya Birla Sun Life Transportation and Logistics Fund-Direct Growth
151368,Sectoral/Thematic,,,Axis Business Cycles Fund - Direct Plan - Growth
152805,Sectoral/Thematic,,,Axis Consumption Fund Direct Plan - Growth
147928,Sectoral/Thematic,,,Axis ESG Integration Strategy Fund - Direct Plan - Growth Option
148634,Sectoral/Thematic,,,Axis Innovation Fund - Direct Plan - Growth Option
153083,Sectoral/Thematic,,,Axis Momentum Fund - Direct Plan - Growth Option
148993,Sectoral/Thematic,,,Axis Quant Fund - Direct Plan - Growth
153624,Sectoral/Thematic,,,Axis Services Opportunities Fund - Direct Plan - Growth Option
153937,Sectoral/Thematic,,,Bajaj Finserv Banking and Financial Services Fund - Direct - Growth
153075,Sectoral/Thematic,,,BAJAJ FINSERV CONSUMPTION FUND - DIRECT - GROWTH
153157,Sectoral/Thematic,,,BAJAJ FINSERV HEALTHCARE FUND - DIRECT - GROWTH
152878,Sectoral/Thematic,,,Bandhan Business Cycle Fund - Direct Plan - Growth
151816,Sectoral/Thematic,,,BANDHAN FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH
153972,Sectoral/Thematic,,,Bandhan Healthcare Fund - Direct Plan - Growth
152607,Sectoral/Thematic,,,Bandhan Innovation Fund - Direct Plan - Growth
153722,Sectoral/Thematic,,,Bandhan Multi-Factor Fund - Direct Plan - Growth
154093,Sectoral/Thematic,,,Bank of India Banking & Financial Services Fund - Direct Plan - Growth
152789,Sectoral/Thematic,,,Bank of India Business Cycle Fund - Direct Plan - Growth
153139,Sectoral/Thematic,,,Bank of India Consumption Fund - Direct - Growth
153847,Sectoral/Thematic,,,Baroda BNP Paribas Business Conglomerates Fund Direct Growth Option
149141,Sectoral/Thematic,,,Baroda BNP Paribas Business Cycle Fund - Direct Plan - Growth
153225,Sectoral/Thematic,,,Baroda BNP Paribas Energy Opportunities Fund - Direct Plan - Growth Option
154195,Sectoral/Thematic,,,Baroda BNP Paribas Best-in-Class Strategy Fund - Direct - Growth Option
153604,Sectoral/Thematic,,,Baroda BNP Paribas Health and Wellness Fund Direct Growth
150266,Sectoral/Thematic,,,BARODA BNP PARIBAS India Consumption Fund - Direct Plan - Growth Option
152470,Sectoral/Thematic,,,Baroda BNP Paribas Innovation Fund Direct plan - Growth Option
152697,Sectoral/Thematic,,,Baroda BNP Paribas Manufacturing Fund - Direct Plan - Growth Option
154250,Sectoral/Thematic,,,Canara Robeco Banking and Financials Services Fund - Direct Plan - Growth
152450,Sectoral/Thematic,,,Canara Robeco Manufacturing Fund - Direct Plan - Growth Option
152206,Sectoral/Thematic,,,DSP Banking & Financial Services Fund - Direct - Growth
153121,Sectoral/Thematic,,,DSP Business Cycle Fund - Direct - Growth
145454,Sectoral/Thematic,,,DSP Healthcare Fund - Direct Plan - Growth
119247,Sectoral/Thematic,,,DSP India T.I.G.E.R. Fund - Direct Plan - Growth
152710,Sectoral/Thematic,,,Edelweiss Business Cycle Fund - Direct Plan - Growth
153214,Sectoral/Thematic,,,Edelweiss Consumption Fund - Direct - Growth
154108,Sectoral/Thematic,,,Edelweiss Financial Services Fund - Direct Plan - Growth Option
142388,Sectoral/Thematic,,,Edelweiss Recently Listed IPO Fund Direct Plan Growth
152437,Sectoral/Thematic,,,Edelweiss Technology Fund - Direct Plan - Growth
118559,Sectoral/Thematic,,,Franklin Asian Equity Fund - Direct - Growth
118557,Sectoral/Thematic,,,Franklin Build India Fund - Direct - Growth
153942,Sectoral/Thematic,,,Franklin India Multi-Factor Fund- Direct- Growth
118539,Sectoral/Thematic,,,Franklin India Opportunities Fund - Direct - Growth
148986,Sectoral/Thematic,,,HDFC Banking & Financial Services Fund - Growth Option - Direct Plan
150805,Sectoral/Thematic,,,HDFC Business Cycle Fund - Growth Option - Direct Plan
151804,Sectoral/Thematic,,,HDFC Consumption Fund - Growth Option - Direct Plan
153620,Sectoral/Thematic,,,HDFC INNOVATION FUND - DIRECT PLAN - GROWTH OPTION
152600,Sectoral/Thematic,,,HDFC Manufacturing fund - Growth Option - Direct Plan
151458,Sectoral/Thematic,,,HDFC MNC Fund - Growth Option - Direct Plan
152082,Sectoral/Thematic,,,HDFC Pharma and Healthcare Fund - Growth Option - Direct Plan
152059,Sectoral/Thematic,,,HDFC Technology Fund - Growth Option - Direct Plan
151901,Sectoral/Thematic,,,HDFC Transportation and Logistics Fund - Growth Option - Direct Plan
152679,Sectoral/Thematic,,,Helios Financial Services Fund - Direct Plan - Growth Option
151142,Sectoral/Thematic,,,HSBC Business Cycles Fund - Direct Growth
152032,Sectoral/Thematic,,,HSBC Consumption Fund - Direct Growth
153266,Sectoral/Thematic,,,HSBC Financial Services Fund - Direct Growth
151040,Sectoral/Thematic,,,HSBC Infrastructure Fund - Direct Growth
153684,Sectoral/Thematic,,,ICICI Prudential Active Momentum Fund - Direct Plan - Growth
120244,Sectoral/Thematic,,,ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth
146951,Sectoral/Thematic,,,ICICI Prudential Bharat Consumption Fund - Direct Plan - Growth Option
153867,Sectoral/Thematic,,,ICICI Prudential Conglomerate Fund - Direct Plan - Growth
152728,Sectoral/Thematic,,,ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - Direct Plan - Growth
153070,Sectoral/Thematic,,,ICICI Prudential Equity Minimum Variance Fund - Direct Plan - Growth
148516,Sectoral/Thematic,,,ICICI Prudential ESG Exclusionary Strategy Fund - Direct Plan - Growth
120587,Sectoral/Thematic,,,ICICI Prudential FMCG Fund - Direct Plan -  Growth
120621,Sectoral/Thematic,,,ICICI Prudential Infrastructure Fund - Direct Plan -  Growth
151580,Sectoral/Thematic,,,ICICI Prudential Innovation Fund - Direct Plan - Growth
147346,Sectoral/Thematic,,,ICICI Prudential MNC Fund - Direct Plan - Growth Option
150539,Sectoral/Thematic,,,ICICI Prudential PSU Equity Fund - Direct Plan - Growth
153458,Sectoral/Thematic,,,ICICI Prudential Quality Fund - Direct Plan - Growth
148600,Sectoral/Thematic,,,ICICI Prudential Quant Fund Direct Plan Growth
153184,Sectoral/Thematic,,,ICICI Prudential Rural Opportunities Fund - Direct Plan - Growth
120186,Sectoral/Thematic,,,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth
149321,Sectoral/Thematic,,,ITI Banking and Financial Services Fund - Direct Plan - Growth Option
153260,Sectoral/Thematic,,,ITI Bharat Consumption Fund - Direct Plan - Growth
154157,Sectoral/Thematic,,,ITI Business Cycle Fund- Direct Plan- Growth
149268,Sectoral/Thematic,,,ITI Pharma and Healthcare Fund - Direct Plan - Growth Option
154082,Sectoral/Thematic,,,JioBlackRock Sector Rotation Fund - Direct Plan - Growth Option
153753,Sectoral/Thematic,,,Kotak Active Momentum Fund - Direct Plan - Growth option
151384,Sectoral/Thematic,,,Kotak Banking & Financial Services Fund - Direct Plan - Growth
150624,Sectoral/Thematic,,,Kotak Business Cycle - Direct Plan - Growth
152169,Sectoral/Thematic,,,Kotak Consumption Fund - Direct plan - Growth Option
153447,Sectoral/Thematic,,,Kotak Energy Opportunities Fund-Direct-Growth
148606,Sectoral/Thematic,,,Kotak ESG Exclusionary Strategy Fund - Direct Plan - Growth Option
152214,Sectoral/Thematic,,,Kotak Healthcare Fund - Direct Plan - Growth Option
133801,Sectoral/Thematic,,,Kotak Infrastructure & Economic Reform Fund- Direct Plan- Growth Option
149841,Sectoral/Thematic,,,Kotak Manufacture in India Fund - Direct Plan Growth
152910,Sectoral/Thematic,,,Kotak MNC Fund-Direct Plan-Growth
147727,Sectoral/Thematic,,,Kotak Pioneer Fund- Direct Plan- Growth Option
151881,Sectoral/Thematic,,,Kotak Quant Fund - Direct Plan - Growth Option
153970,Sectoral/Thematic,,,Kotak Rural Opportunities Fund - Direct Plan - Growth
154149,Sectoral/Thematic,,,Kotak Services Fund - Direct - Growth
152702,Sectoral/Thematic,,,Kotak Special Opportunities Fund - Direct Plan - Growth Option
152462,Sectoral/Thematic,,,Kotak Technology Fund - Direct Plan - Growth Option
153118,Sectoral/Thematic,,,Kotak Transportation & Logistics Fund-Direct Growth
134017,Sectoral/Thematic,,,LIC MF Banking and Financial Services Fund-Direct Plan-Growth
153948,Sectoral/Thematic,,,LIC MF Consumption Fund-Direct Plan-Growth
152024,Sectoral/Thematic,,,LIC MF Healthcare Fund-Direct Plan-Growth
120351,Sectoral/Thematic,,,LIC MF Infrastructure Fund-Direct Plan-Growth
