amfi_code,scheme_name,amc,category,sector,first_nav_date,last_nav_date,n_obs
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Flexi Cap,,2013-01-02,2026-07-13,3327
118424,BANDHAN Flexi Cap Fund-Direct Plan-Growth,Bandhan Mutual Fund,Flexi Cap,,2013-01-02,2026-07-13,3336
118535,Franklin India Flexi Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Flexi Cap,,2013-01-01,2026-07-13,3328
118883,Taurus Flexi Cap Fund - Direct Plan - Growth,Taurus Mutual Fund,Flexi Cap,,2013-01-02,2026-07-13,3329
118955,HDFC Flexi Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Flexi Cap,,2013-01-01,2026-07-10,3327
119076,DSP Flexi Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Flexi Cap,,2013-01-02,2026-07-13,3329
119292,Union Flexi Cap Fund - Direct Plan - Growth Option,Union Mutual Fund,Flexi Cap,,2013-01-02,2026-07-13,3326
119718,SBI Flexicap Fund - DIRECT PLAN - Growth Option,SBI Mutual Fund,Flexi Cap,,2013-01-07,2026-07-10,3330
120046,HSBC Flexi Cap Fund - Direct Growth,HSBC Mutual Fund,Flexi Cap,,2013-01-02,2026-07-13,3327
120166,Kotak Flexicap Fund - Growth - Direct,Kotak Mahindra Mutual Fund,Flexi Cap,,2013-01-04,2026-07-13,3324
118269,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Large Cap,,2013-01-02,2026-07-13,3326
118479,BANDHAN Large Cap Fund-Direct Plan-Growth,Bandhan Mutual Fund,Large Cap,,2013-01-02,2026-07-13,3336
118531,Franklin India Large Cap Fund- Direct - Growth,Franklin Templeton Mutual Fund,Large Cap,,2013-01-01,2026-07-10,3326
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option,Edelweiss Mutual Fund,Large Cap,,2013-01-08,2026-07-13,3324
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Large Cap,,2013-01-02,2026-07-13,3327
118825,Mirae Asset Large Cap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Large Cap,,2013-01-02,2026-07-13,3327
118870,Taurus Large Cap Fund - Direct Plan - Growth,Taurus Mutual Fund,Large Cap,,2013-01-03,2026-07-13,3328
119018,HDFC Large Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Large Cap,,2013-01-01,2026-07-13,3328
119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option,Groww Mutual Fund,Large Cap,,2013-01-02,2026-07-13,3328
119160,Tata Large Cap Fund -Direct Plan Growth Option,Tata Mutual Fund,Large Cap,,2013-01-02,2026-07-13,3327
118278,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Large & Mid Cap,,2013-01-02,2026-07-13,3327
118419,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,Bandhan Mutual Fund,Large & Mid Cap,,2013-01-02,2026-07-13,3336
118510,Franklin India Large & Mid Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Large & Mid Cap,,2013-01-01,2026-07-13,3327
118678,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Large & Mid Cap,,2013-01-02,2026-07-13,3327
118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Large & Mid Cap,,2013-01-02,2026-07-13,3327
119202,Tata Large & MId Cap Fund -Direct Plan- Growth Option,Tata Mutual Fund,Large & Mid Cap,,2013-01-02,2026-07-13,3327
119218,DSP Large & Mid Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Large & Mid Cap,,2013-01-02,2026-07-13,3329
119350,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Growth,Bank of India Mutual Fund,Large & Mid Cap,,2013-01-02,2026-07-13,3327
119436,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Large & Mid Cap,,2013-01-02,2026-07-13,3326
118533,Franklin India Mid Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Mid Cap,,2013-01-01,2026-07-13,3328
118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Mid Cap,,2013-01-02,2026-07-13,3327
118872,Taurus Mid Cap Fund - Direct Plan - Growth,Taurus Mutual Fund,Mid Cap,,2013-01-02,2026-07-13,3329
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Mid Cap,,2013-01-01,2026-07-13,3328
119071,DSP Midcap Fund - Direct Plan - Growth,DSP Mutual Fund,Mid Cap,,2013-01-02,2026-07-13,3329
119178,Tata Mid Cap Fund - Direct Plan- Growth Option,Tata Mutual Fund,Mid Cap,,2013-01-02,2026-07-13,3327
119581,Sundaram Mid Cap Fund Direct Plan - Growth,Sundaram Mutual Fund,Mid Cap,,2013-01-02,2026-07-13,3326
119620,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Mid Cap,,2013-01-02,2026-07-13,3326
119716,SBI MIDCAP FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund,Mid Cap,,2013-01-02,2026-07-13,3336
119775,Kotak Midcap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Mid Cap,,2013-01-03,2026-07-13,3325
118525,Franklin India Small Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Small Cap,,2013-01-01,2026-07-13,3328
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Small Cap,,2013-01-02,2026-07-13,3326
119212,DSP Small Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Small Cap,,2013-01-02,2026-07-13,3329
119556,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Small Cap,,2013-01-07,2026-07-13,3323
