amfi_code,category,sector,source_url,note
151901,,Auto/Transportation,https://www.amfiindia.com/spages/NAVAll.txt,HDFC Transportation and Logistics Fund - Growth Option - Direct Plan
152158,,Auto/Transportation,https://www.amfiindia.com/spages/NAVAll.txt,Aditya Birla Sun Life Transportation and Logistics Fund-Direct Growth
152657,,Auto/Transportation,https://www.amfiindia.com/spages/NAVAll.txt,SBI Automotive Opportunities Fund - Direct Plan - Growth
153118,,Auto/Transportation,https://www.amfiindia.com/spages/NAVAll.txt,Kotak Transportation & Logistics Fund-Direct Growth
118588,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Bonus Option
120244,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth
120385,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Invesco India Financial Services Fund - Direct Plan - Growth
120733,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,UTI Banking and Financial Services Fund - Direct Plan - Growth Option
125597,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth
133859,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,SBI BANKING & FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH
134017,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,LIC MF Banking and Financial Services Fund-Direct Plan-Growth
135793,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Tata Banking And Financial Services Fund-Direct Plan-Growth
148623,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Mirae Asset Banking and Financial Services Fund Direct Growth
148986,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,HDFC Banking & Financial Services Fund - Growth Option - Direct Plan
149321,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,ITI Banking and Financial Services Fund - Direct Plan - Growth Option
151384,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Kotak Banking & Financial Services Fund - Direct Plan - Growth
151791,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,quant BFSI Fund - Growth Option - Direct Plan
151816,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,BANDHAN FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH
152206,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,DSP Banking & Financial Services Fund - Direct - Growth
152254,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Groww Banking & Financial Services Fund - Direct Plan - Growth
152321,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,WhiteOak Capital Banking & Financial Services Fund - Direct Growth
152679,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Helios Financial Services Fund - Direct Plan - Growth Option
153266,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,HSBC Financial Services Fund - Direct Growth
153674,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Mahindra Manulife Banking & Financial Services Fund - Direct - Growth
153937,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Bajaj Finserv Banking and Financial Services Fund - Direct - Growth
154093,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Bank of India Banking & Financial Services Fund - Direct Plan - Growth
154108,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Edelweiss Financial Services Fund - Direct Plan - Growth Option
154142,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Motilal Oswal Financial Services Fund- Direct Growth
154250,,Banking/Financial Services,https://www.amfiindia.com/spages/NAVAll.txt,Canara Robeco Banking and Financials Services Fund - Direct Plan - Growth
149141,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Baroda BNP Paribas Business Cycle Fund - Direct Plan - Growth
149295,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Aditya Birla Sun Life Business Cycle Fund-Direct Growth
150624,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Kotak Business Cycle - Direct Plan - Growth
150805,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,HDFC Business Cycle Fund - Growth Option - Direct Plan
151142,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,HSBC Business Cycles Fund - Direct Growth
151368,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Axis Business Cycles Fund - Direct Plan - Growth
151757,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,quant Business Cycle Fund - Growth Option - Direct Plan
152045,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Mahindra Manulife Business Cycle Fund - Direct Plan - Growth
152409,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Union Business Cycle Fund - Direct Plan - Growth Option
152677,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Sundaram Business Cycle Fund Direct Plan Growth
152710,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Edelweiss Business Cycle Fund - Direct Plan - Growth
152789,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Bank of India Business Cycle Fund - Direct Plan - Growth
152796,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Motilal Oswal Business Cycle Fund - Direct Plan- Growth
152878,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Bandhan Business Cycle Fund - Direct Plan - Growth
153121,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,DSP Business Cycle Fund - Direct - Growth
153291,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,Invesco India Business Cycle Fund - Direct Plan - Growth
154157,,Business Cycle,https://www.amfiindia.com/spages/NAVAll.txt,ITI Business Cycle Fund- Direct Plan- Growth
119705,,Commodities/Natural Resources,https://www.amfiindia.com/spages/NAVAll.txt,SBI COMMA Fund - DIRECT PLAN - Growth
147372,,ESG,https://www.amfiindia.com/spages/NAVAll.txt,QUANTUM ESG BEST IN CLASS STRATEGY FUND - DIRECT PLAN - GROWTH OPTION
147928,,ESG,https://www.amfiindia.com/spages/NAVAll.txt,Axis ESG Integration Strategy Fund - Direct Plan - Growth Option
148516,,ESG,https://www.amfiindia.com/spages/NAVAll.txt,ICICI Prudential ESG Exclusionary Strategy Fund - Direct Plan - Growth
148564,,ESG,https://www.amfiindia.com/spages/NAVAll.txt,quant ESG Integration Strategy Fund - Growth Option - Direct Plan
148606,,ESG,https://www.amfiindia.com/spages/NAVAll.txt,Kotak ESG Exclusionary Strategy Fund - Direct Plan - Growth Option
148637,,ESG,https://www.amfiindia.com/spages/NAVAll.txt,Aditya Birla Sun Life ESG Integration Strategy Fund-Direct Plan-Growth
148751,,ESG,https://www.amfiindia.com/spages/NAVAll.txt,Invesco India ESG Integration Strategy Fund - Direct Plan - Growth
152962,,ESG,https://www.amfiindia.com/spages/NAVAll.txt,WhiteOak Capital ESG Best-In-Class Strategy Fund Direct Plan Growth
